# court_c40: venue-capped ablation split (cap=3 frames/venue, seed 0)
# Subsetted from data/dataset/court (the committed 216/54 build), NOT built
# by build_kp_dataset.py -- the 4 dome videos are absent on the training box,
# so the seeded builder command yields a smaller, different split there.
# format: <split>	<venue>	<image>
train	dome2	dome2_00000.jpg
train	dome2	dome2_00300.jpg
train	dome3	dome3_00035.jpg
train	dome3	dome3_00210.jpg
train	File:Azadi_Indoor_Stadium	web_web_000.jpg
train	File:Azadi_Indoor_Stadium_3	web_web_001.jpg
train	File:Marmi_Lanza	web_web_003.jpg
train	File:Penn_State_Women%27s_Volleyball_warming_up_prior_to_the_2014_Women%27s_Volleyball_National_Championship	web_web_007.jpg
train	File:Volleyball_Rouge_et_Or	web_web_014.jpg
train	File:Louisiana%E2%80%93Monroe_vs._UT_Arlington_volleyball_2019_13_(in-match_action)	web_web_017.jpg
train	File:Milwaukee_vs._Marquette_women%27s_volleyball_03_(in-match_action)	web_web_024.jpg
train	File:2003_Volleyball_Bundesliga_-_Friedrichshafen_vs_Saulgau	web_web_033.jpg
train	File:20240309_183317_Fenerbahce_THY_3	web_web_039.jpg
train	tallones-vlawest	web_web_060.jpg
train	File:Volleyball_CL-2005_Poland_vs_Argentina_in_Bydgoszcz	web_web_079.jpg
train	File:Penn_state_women%27s_volleyball_minnesota_2014	web_web_084.jpg
train	File:Volleyball_at_the_2024_Summer_Olympics_%E2%80%93_Men%27s_Japan_vs_Germany_03	web_web_088.jpg
train	File:French_Volleyball_Super_Cup_2014_-_04	web_web_094.jpg
train	File:2025_Volleyball%2C_York_Lions_vs_Toronto_Varsity_Blues_02	web_web_102.jpg
train	File:20130905_Volleyball_EM_2013_by_Olaf_Kosinsky_%2867_von_74%29	web_web_104.jpg
train	File:Gay_Games_2018_Volleyball_competition_02	web_web_105.jpg
train	File:Tournoi_volley_Cambrai_2010	web_web_106.jpg
train	File:2024-2025_V-League_Playoffs_Game_3_in_Suwon_Gymnasium_03	web_web_108.jpg
train	File:Hala_sportowa_przy_CEZiU_Wyszk%C3%B3w_%28widok_na_p%C5%82yt%C4%99_boiska_podczas_meczu_siatkarskiego_II_ligi%2C_02.12.2023%29	web_web_112.jpg
train	File:Incheon_Dowon_Gymnasium	web_web_116.jpg
train	File:Ota_city_general_gymnasium_arena	web_web_117.jpg
train	d7Z2dPaV0Cs	web_web_128.jpg
train	6VbZpLkxCr4	web_web_132.jpg
train	6FEgBmBKtI0	web_web_141.jpg
train	oIHUSy4q3C4	web_web_144.jpg
train	oIHUSy4q3C4	web_web_146.jpg
train	RTed4c9_-88	web_web_166.jpg
train	RTed4c9_-88	web_web_167.jpg
train	he7gkJB2t50	web_web_170.jpg
train	xU6QND8qZcM	web_web_189.jpg
train	tallones-vlawest	web_web_224.jpg
val	dome2	dome2_00468.jpg
val	dome3	dome3_00266.jpg
val	File:Memori_Asian_Games_2018	web_web_004.jpg
val	File:Marquette_vs._Milwaukee_women%27s_volleyball_2023_19_(in-match_action)	web_web_023.jpg
val	File:Volleyball-Europaliga_2014_Deutschland_-_Spanien_Aufw%C3%A4rmen	web_web_036.jpg
val	File:2025_Volleyball%2C_York_Lions_vs_Nipissing_Lakers_%28OUA_QF%29_03	web_web_078.jpg
val	File:Inside_Sangroksu_Volleyball_Stadium	web_web_089.jpg
val	File:CV_Torrelavega_vs_CV_Zalaeta	web_web_103.jpg
val	File:V.LEAGUE_in_Okinawa_City_Gymnasium_%282%29	web_web_109.jpg
val	6VbZpLkxCr4	web_web_131.jpg
val	tallones-vlawest	web_web_227.jpg
