# court_c81: venue-capped ablation split (cap=3 frames/venue, seed 0)
# Subsetted from data/dataset/court (the committed 216/54 build), NOT built
# by build_kp_dataset.py -- the 4 dome videos are absent on the training box,
# so the seeded builder command yields a smaller, different split there.
# format: <split>	<venue>	<image>
train	dome1	dome1_00000.jpg
train	dome1	dome1_00200.jpg
train	dome2	dome2_00000.jpg
train	dome2	dome2_00300.jpg
train	dome3	dome3_00035.jpg
train	dome3	dome3_00210.jpg
train	dome4	dome4_00000.jpg
train	dome4	dome4_00338.jpg
train	mikasa	mikasa_00000.jpg
train	mikasa	mikasa_16830.jpg
train	File:Azadi_Indoor_Stadium	web_web_000.jpg
train	File:Azadi_Indoor_Stadium_3	web_web_001.jpg
train	File:Hec_Ed	web_web_002.jpg
train	File:Marmi_Lanza	web_web_003.jpg
train	File:Nakhon_Pathom_Sports_Center_Gymnasium_on_July_19,_2025_(2025_Asian_Men%27s_U16_Volleyball_Championship_THA_VS_KOR)_-_1	web_web_005.jpg
train	File:Nakhon_Pathom_Sports_Center_Gymnasium_on_July_19,_2025_(2025_Asian_Men%27s_U16_Volleyball_Championship_THA_VS_KOR)_-_2	web_web_006.jpg
train	File:Penn_State_Women%27s_Volleyball_warming_up_prior_to_the_2014_Women%27s_Volleyball_National_Championship	web_web_007.jpg
train	File:Voleibol_Femenino	web_web_010.jpg
train	File:Volleyball_Rouge_et_Or	web_web_014.jpg
train	File:Louisiana%E2%80%93Monroe_vs._UT_Arlington_volleyball_2019_10_(in-match_action)	web_web_015.jpg
train	File:Louisiana%E2%80%93Monroe_vs._UT_Arlington_volleyball_2019_13_(in-match_action)	web_web_017.jpg
train	File:Marquette_vs._Milwaukee_women%27s_volleyball_2023_03_(in-match_action)	web_web_022.jpg
train	File:Milwaukee_vs._Marquette_women%27s_volleyball_03_(in-match_action)	web_web_024.jpg
train	File:Serve_during_volleyball_match_2	web_web_030.jpg
train	File:Europei_di_pallavolo_2005_-_Italia-Russia	web_web_032.jpg
train	File:2003_Volleyball_Bundesliga_-_Friedrichshafen_vs_Saulgau	web_web_033.jpg
train	File:Volleyball_Men%27s_European_Championship_2017_in_Szczecin	web_web_037.jpg
train	File:2022_%C5%9Eampiyonlar_Kupas%C4%B1_Finali_01	web_web_038.jpg
train	File:20240309_183317_Fenerbahce_THY_3	web_web_039.jpg
train	File:European_Women%27s_Championship_Volleyball_2016_(26000252440)	web_web_040.jpg
train	File:TurAze5	web_web_043.jpg
train	tallones-vlacup	web_web_052.jpg
train	tallones-vlawest	web_web_060.jpg
train	File:2020_Volleyball%2C_York_Lions_vs_Toronto_Varsity_Blues_06	web_web_076.jpg
train	File:Volleyball_CL-2005_Poland_vs_Argentina_in_Bydgoszcz	web_web_079.jpg
train	File:Enercare_Centre_Hall_A_hosting_the_volleyball_competition_during_the_Toronto_2015_Pan_American_Games	web_web_083.jpg
train	File:Penn_state_women%27s_volleyball_minnesota_2014	web_web_084.jpg
train	File:Volleyball_at_the_2024_Summer_Olympics_%E2%80%93_Men%27s_Japan_vs_Germany_03	web_web_088.jpg
train	File:Volleyball_Premier_League_-_Paykan_and_Razin_Polymer_28_%28Mehr%2C_2025%29	web_web_090.jpg
train	File:French_Volleyball_Super_Cup_2014_-_04	web_web_094.jpg
train	File:Partita_cisterna_volley_palazzetto	web_web_097.jpg
train	File:2025_Volleyball%2C_York_Lions_vs_Toronto_Varsity_Blues_02	web_web_102.jpg
train	File:20130905_Volleyball_EM_2013_by_Olaf_Kosinsky_%2867_von_74%29	web_web_104.jpg
train	File:Gay_Games_2018_Volleyball_competition_02	web_web_105.jpg
train	File:Tournoi_volley_Cambrai_2010	web_web_106.jpg
train	File:2024-2025_V-League_Playoffs_Game_3_in_Suwon_Gymnasium_03	web_web_108.jpg
train	File:Hala_sportowa_przy_CEZiU_Wyszk%C3%B3w_%28widok_na_p%C5%82yt%C4%99_boiska_podczas_meczu_siatkarskiego_II_ligi%2C_02.12.2023%29	web_web_112.jpg
train	File:Daejeon_Chungmu_Gymnasium_indoor_volleyball	web_web_114.jpg
train	File:Incheon_Dowon_Gymnasium	web_web_116.jpg
train	File:Ota_city_general_gymnasium_arena	web_web_117.jpg
train	3fME6LHzu0o	web_web_120.jpg
train	uDZM_EU-be8	web_web_123.jpg
train	uDZM_EU-be8	web_web_124.jpg
train	d7Z2dPaV0Cs	web_web_128.jpg
train	6VbZpLkxCr4	web_web_132.jpg
train	2a1ZmsQacEI	web_web_134.jpg
train	2imRNayoUVA	web_web_135.jpg
train	2imRNayoUVA	web_web_136.jpg
train	rKahSdKGgv4	web_web_138.jpg
train	rKahSdKGgv4	web_web_139.jpg
train	6FEgBmBKtI0	web_web_141.jpg
train	0_etlak7-Jc	web_web_142.jpg
train	oIHUSy4q3C4	web_web_144.jpg
train	oIHUSy4q3C4	web_web_146.jpg
train	I4fS8yFs2I8	web_web_147.jpg
train	8KQOLcQsiME	web_web_149.jpg
train	f3hUzouKHsY	web_web_151.jpg
train	f3hUzouKHsY	web_web_152.jpg
train	ooEZR5Mkj1M	web_web_155.jpg
train	ooEZR5Mkj1M	web_web_156.jpg
train	82Ylkkwz7gc	web_web_161.jpg
train	82Ylkkwz7gc	web_web_162.jpg
train	LF8E9GZ6sVU	web_web_163.jpg
train	LF8E9GZ6sVU	web_web_164.jpg
train	RTed4c9_-88	web_web_166.jpg
train	RTed4c9_-88	web_web_167.jpg
train	he7gkJB2t50	web_web_170.jpg
train	A1B0uJqE1GQ	web_web_171.jpg
train	A1B0uJqE1GQ	web_web_173.jpg
train	zdIZdYmiRXQ	web_web_174.jpg
train	zdIZdYmiRXQ	web_web_176.jpg
train	8pG6U15_DmM	web_web_184.jpg
train	8pG6U15_DmM	web_web_185.jpg
train	8pG6U15_DmM	web_web_186.jpg
train	m9ztiTdlSkg	web_web_187.jpg
train	xU6QND8qZcM	web_web_189.jpg
train	tallones-evl	web_web_191.jpg
train	tallones-evl	web_web_196.jpg
train	tallones-vlacup	web_web_210.jpg
train	tallones-vlawest	web_web_224.jpg
val	dome1	dome1_00296.jpg
val	dome2	dome2_00468.jpg
val	dome3	dome3_00266.jpg
val	dome4	dome4_00520.jpg
val	mikasa	mikasa_24750.jpg
val	File:Memori_Asian_Games_2018	web_web_004.jpg
val	File:%E6%98%A5%E9%AB%98%E3%83%90%E3%83%AC%E3%83%BC2008_(2365571075)	web_web_012.jpg
val	File:Marquette_vs._Milwaukee_women%27s_volleyball_2023_19_(in-match_action)	web_web_023.jpg
val	File:Volleyball-Europaliga_2014_Deutschland_-_Spanien_Aufw%C3%A4rmen	web_web_036.jpg
val	File:Gs-volleyball-150308	web_web_041.jpg
val	File:2025_Volleyball%2C_York_Lions_vs_Nipissing_Lakers_%28OUA_QF%29_03	web_web_078.jpg
val	File:Inside_Sangroksu_Volleyball_Stadium	web_web_089.jpg
val	File:CV_Torrelavega_vs_CV_Zalaeta	web_web_103.jpg
val	File:V.LEAGUE_in_Okinawa_City_Gymnasium_%282%29	web_web_109.jpg
val	File:SendaiCityGymnasium	web_web_118.jpg
val	6VbZpLkxCr4	web_web_131.jpg
val	2imRNayoUVA	web_web_137.jpg
val	0_etlak7-Jc	web_web_143.jpg
val	8KQOLcQsiME	web_web_150.jpg
val	ooEZR5Mkj1M	web_web_157.jpg
val	LF8E9GZ6sVU	web_web_165.jpg
val	A1B0uJqE1GQ	web_web_172.jpg
val	zdIZdYmiRXQ	web_web_177.jpg
val	m9ztiTdlSkg	web_web_188.jpg
val	tallones-evl	web_web_195.jpg
val	tallones-vlacup	web_web_211.jpg
val	tallones-vlawest	web_web_227.jpg
